"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 23 19:50:26 PDT 2022","Tue Aug 23 19:50:26 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestCorrectCredentials","doLoginTestCorrectCredentials","Test Case Description: Verify Login With Correct Credentials"
"passed","Wed Aug 24 01:26:06 PDT 2022","Wed Aug 24 01:26:06 PDT 2022","346","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","AmountOfProductTest","AmountOfProductTest","Test Case Description: Verify Amount Of Products"
"skipped","Tue Aug 23 19:50:26 PDT 2022","Tue Aug 23 19:50:26 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doRegistration","doRegistration","Test Case Description: Verify Registration New User"
"broken","Tue Aug 23 20:05:56 PDT 2022","Tue Aug 23 20:05:56 PDT 2022","5","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","startUp","startUp",""
"skipped","Tue Aug 23 19:50:26 PDT 2022","Tue Aug 23 19:50:26 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateRegisterPageTitle","validateRegisterPageTitle","Test Case Description: Verify Register Page Title"
"broken","Tue Aug 23 19:55:14 PDT 2022","Tue Aug 23 19:55:14 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","startUp","startUp",""
"skipped","Tue Aug 23 19:58:42 PDT 2022","Tue Aug 23 19:58:42 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doClickOnCartBtnTest","doClickOnCartBtnTest","Test Case Description: Verify Click On Cart Button"
"skipped","Tue Aug 23 19:58:28 PDT 2022","Tue Aug 23 19:58:28 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateLogInFormTest","validateLogInFormTest","Test Case Description: Verify Login Form"
"passed","Wed Aug 24 01:16:22 PDT 2022","Wed Aug 24 01:16:23 PDT 2022","1039","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","AmountOfProductTest","AmountOfProductTest","Test Case Description: Verify Amount Of Products"
"skipped","Tue Aug 23 19:58:28 PDT 2022","Tue Aug 23 19:58:28 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestIncorrectCredentials","doLoginTestIncorrectCredentials","Test Case Description: Verify Login With Incorrect Credentials"
"passed","Wed Aug 24 01:25:15 PDT 2022","Wed Aug 24 01:25:15 PDT 2022","88","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateLogInFormTest","validateLogInFormTest","Test Case Description: Verify Login Form"
"passed","Wed Aug 24 01:16:43 PDT 2022","Wed Aug 24 01:16:54 PDT 2022","10497","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","doProceedToCheckOutTest","doProceedToCheckOutTest","Test Case Description: Verify Proceed To Check Out"
"passed","Wed Aug 24 01:26:00 PDT 2022","Wed Aug 24 01:26:01 PDT 2022","340","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","validateProductPageTitle","validateProductPageTitle","Test Case Description: Verify Product Page Title"
"broken","Tue Aug 23 19:58:14 PDT 2022","Tue Aug 23 19:58:14 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","startUp","startUp",""
"passed","Mon Aug 22 00:15:10 PDT 2022","Mon Aug 22 00:15:19 PDT 2022","9391","Default Suite","ShettyAcademyGit","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doAddToCartTest","doAddToCartTest","Test Case Description: Verify Do Add To Cart Product"
"passed","Wed Aug 24 01:16:31 PDT 2022","Wed Aug 24 01:16:36 PDT 2022","4690","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doLogOutTest","doLogOutTest","Test Case Description: Verify Log Out"
"broken","Tue Aug 23 20:05:40 PDT 2022","Tue Aug 23 20:05:40 PDT 2022","5","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","startUp","startUp",""
"skipped","Tue Aug 23 19:58:28 PDT 2022","Tue Aug 23 19:58:28 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateRegisterPageTitle","validateRegisterPageTitle","Test Case Description: Verify Register Page Title"
"skipped","Tue Aug 23 19:55:14 PDT 2022","Tue Aug 23 19:55:14 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doProceedToCheckOutTest","doProceedToCheckOutTest","Test Case Description: Verify Proceed To Check Out"
"skipped","Tue Aug 23 19:50:26 PDT 2022","Tue Aug 23 19:50:26 PDT 2022","2","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestIncorrectCredentials","doLoginTestIncorrectCredentials","Test Case Description: Verify Login With Incorrect Credentials"
"skipped","Tue Aug 23 19:55:14 PDT 2022","Tue Aug 23 19:55:14 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","validateProductPageTitle","validateProductPageTitle","Test Case Description: Verify Product Page Title"
"passed","Wed Aug 24 01:26:12 PDT 2022","Wed Aug 24 01:26:13 PDT 2022","1034","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doLogOutTest","doLogOutTest","Test Case Description: Verify Log Out"
"passed","Wed Aug 24 01:24:45 PDT 2022","Wed Aug 24 01:24:46 PDT 2022","1357","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestCorrectCredentials","doLoginTestCorrectCredentials","Test Case Description: Verify Login With Correct Credentials"
"passed","Wed Aug 24 01:24:51 PDT 2022","Wed Aug 24 01:24:52 PDT 2022","1083","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestIncorrectCredentials","doLoginTestIncorrectCredentials","Test Case Description: Verify Login With Incorrect Credentials"
"passed","Wed Aug 24 01:24:57 PDT 2022","Wed Aug 24 01:25:00 PDT 2022","3126","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doRegistration","doRegistration","Test Case Description: Verify Registration New User"
"passed","Wed Aug 24 01:14:54 PDT 2022","Wed Aug 24 01:14:54 PDT 2022","124","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateLogInFormTest","validateLogInFormTest","Test Case Description: Verify Login Form"
"passed","Wed Aug 24 01:14:27 PDT 2022","Wed Aug 24 01:14:33 PDT 2022","5988","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doRegistration","doRegistration","Test Case Description: Verify Registration New User"
"broken","Tue Aug 23 19:58:28 PDT 2022","Tue Aug 23 19:58:28 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","startUp","startUp",""
"broken","Tue Aug 23 19:50:26 PDT 2022","Tue Aug 23 19:50:26 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","startUp","startUp",""
"passed","Wed Aug 24 01:16:14 PDT 2022","Wed Aug 24 01:16:15 PDT 2022","1071","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","validateProductPageTitle","validateProductPageTitle","Test Case Description: Verify Product Page Title"
"skipped","Tue Aug 23 19:58:28 PDT 2022","Tue Aug 23 19:58:28 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestCorrectCredentials","doLoginTestCorrectCredentials","Test Case Description: Verify Login With Correct Credentials"
"passed","Tue Aug 23 19:52:00 PDT 2022","Tue Aug 23 19:52:10 PDT 2022","10102","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doSearchTest","doSearchTest","Test Case Description: Verify Do Search Product"
"skipped","Tue Aug 23 19:55:14 PDT 2022","Tue Aug 23 19:55:14 PDT 2022","5","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","AmountOfProductTest","AmountOfProductTest","Test Case Description: Verify Amount Of Products"
"passed","Wed Aug 24 01:25:05 PDT 2022","Wed Aug 24 01:25:05 PDT 2022","41","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateRegisterPageTitle","validateRegisterPageTitle","Test Case Description: Verify Register Page Title"
"passed","Wed Aug 24 01:14:47 PDT 2022","Wed Aug 24 01:14:47 PDT 2022","126","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateAmountOfSocialMediaLinksTest","validateAmountOfSocialMediaLinksTest","Test Case Description: Verify Amount Of Social Media Links"
"passed","Wed Aug 24 01:15:56 PDT 2022","Wed Aug 24 01:16:05 PDT 2022","9223","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doProceedToCheckOutTest","doProceedToCheckOutTest","Test Case Description: Verify Proceed To Check Out"
"broken","Sun Aug 21 23:55:06 PDT 2022","Sun Aug 21 23:55:06 PDT 2022","13","Default Suite","ShettyAcademyGit","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestCorrectCredentials","doLoginTestCorrectCredentials","Test Case Description: Verify Login With Correct Credentials"
"skipped","Tue Aug 23 19:58:56 PDT 2022","Tue Aug 23 19:58:56 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","doProceedToCheckOutTest","doProceedToCheckOutTest","Test Case Description: Verify Proceed To Check Out"
"passed","Wed Aug 24 01:14:19 PDT 2022","Wed Aug 24 01:14:20 PDT 2022","1751","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestIncorrectCredentials","doLoginTestIncorrectCredentials","Test Case Description: Verify Login With Incorrect Credentials"
"skipped","Tue Aug 23 19:58:28 PDT 2022","Tue Aug 23 19:58:28 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateShettyAcademyEmailTest","validateShettyAcademyEmailTest","Test Case Description: Verify Shetty Academy Email"
"skipped","Tue Aug 23 19:55:14 PDT 2022","Tue Aug 23 19:55:14 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doClickOnCartBtnTest","doClickOnCartBtnTest","Test Case Description: Verify Click On Cart Button"
"passed","Wed Aug 24 01:25:20 PDT 2022","Wed Aug 24 01:25:20 PDT 2022","87","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateShettyAcademyEmailTest","validateShettyAcademyEmailTest","Test Case Description: Verify Shetty Academy Email"
"skipped","Tue Aug 23 19:58:42 PDT 2022","Tue Aug 23 19:58:42 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doAddToCartTest","doAddToCartTest","Test Case Description: Verify Do Add To Cart Product"
"passed","Tue Aug 23 19:03:18 PDT 2022","Tue Aug 23 19:03:20 PDT 2022","2398","Test Automation Single Suite","Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestCorrectCredentials","doLoginTestCorrectCredentials","Test Case Description: Verify Login With Correct Credentials"
"passed","Wed Aug 24 01:25:10 PDT 2022","Wed Aug 24 01:25:10 PDT 2022","65","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateAmountOfSocialMediaLinksTest","validateAmountOfSocialMediaLinksTest","Test Case Description: Verify Amount Of Social Media Links"
"passed","Wed Aug 24 01:15:00 PDT 2022","Wed Aug 24 01:15:00 PDT 2022","132","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateShettyAcademyEmailTest","validateShettyAcademyEmailTest","Test Case Description: Verify Shetty Academy Email"
"skipped","Tue Aug 23 19:58:28 PDT 2022","Tue Aug 23 19:58:28 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateAmountOfSocialMediaLinksTest","validateAmountOfSocialMediaLinksTest","Test Case Description: Verify Amount Of Social Media Links"
"skipped","Tue Aug 23 19:58:42 PDT 2022","Tue Aug 23 19:58:42 PDT 2022","2","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doLogOutTest","doLogOutTest","Test Case Description: Verify Log Out"
"broken","Wed Aug 24 01:25:33 PDT 2022","Wed Aug 24 01:25:37 PDT 2022","3820","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doAddToCartTest","doAddToCartTest","Test Case Description: Verify Do Add To Cart Product"
"broken","Tue Aug 23 20:05:26 PDT 2022","Tue Aug 23 20:05:26 PDT 2022","11","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","startUp","startUp",""
"skipped","Tue Aug 23 19:58:42 PDT 2022","Tue Aug 23 19:58:42 PDT 2022","5","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doSearchTest","doSearchTest","Test Case Description: Verify Do Search Product"
"skipped","Tue Aug 23 19:58:42 PDT 2022","Tue Aug 23 19:58:42 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doProceedToCheckOutTest","doProceedToCheckOutTest","Test Case Description: Verify Proceed To Check Out"
"skipped","Tue Aug 23 19:55:14 PDT 2022","Tue Aug 23 19:55:14 PDT 2022","4","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doLogOutTest","doLogOutTest","Test Case Description: Verify Log Out"
"passed","Wed Aug 24 01:14:40 PDT 2022","Wed Aug 24 01:14:40 PDT 2022","19","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateRegisterPageTitle","validateRegisterPageTitle","Test Case Description: Verify Register Page Title"
"passed","Wed Aug 24 01:15:40 PDT 2022","Wed Aug 24 01:15:49 PDT 2022","8817","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doClickOnCartBtnTest","doClickOnCartBtnTest","Test Case Description: Verify Click On Cart Button"
"passed","Wed Aug 24 01:14:07 PDT 2022","Wed Aug 24 01:14:11 PDT 2022","4226","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestCorrectCredentials","doLoginTestCorrectCredentials","Test Case Description: Verify Login With Correct Credentials"
"skipped","Tue Aug 23 19:55:14 PDT 2022","Tue Aug 23 19:55:14 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doAddToCartTest","doAddToCartTest","Test Case Description: Verify Do Add To Cart Product"
"skipped","Tue Aug 23 19:50:26 PDT 2022","Tue Aug 23 19:50:26 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateLogInFormTest","validateLogInFormTest","Test Case Description: Verify Login Form"
"broken","Tue Aug 23 19:58:56 PDT 2022","Tue Aug 23 19:58:56 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","startUp","startUp",""
"broken","Wed Aug 24 01:26:45 PDT 2022","Wed Aug 24 01:26:49 PDT 2022","3782","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","doProceedToCheckOutTest","doProceedToCheckOutTest","Test Case Description: Verify Proceed To Check Out"
"broken","Wed Aug 24 01:25:42 PDT 2022","Wed Aug 24 01:25:46 PDT 2022","3825","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doClickOnCartBtnTest","doClickOnCartBtnTest","Test Case Description: Verify Click On Cart Button"
"skipped","Tue Aug 23 19:58:42 PDT 2022","Tue Aug 23 19:58:42 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","AmountOfProductTest","AmountOfProductTest","Test Case Description: Verify Amount Of Products"
"skipped","Tue Aug 23 19:50:26 PDT 2022","Tue Aug 23 19:50:26 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateAmountOfSocialMediaLinksTest","validateAmountOfSocialMediaLinksTest","Test Case Description: Verify Amount Of Social Media Links"
"passed","Mon Aug 22 00:03:01 PDT 2022","Mon Aug 22 00:03:05 PDT 2022","4392","Test Automation Regression Suite","Chrome Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestCorrectCredentials","doLoginTestCorrectCredentials","Test Case Description: Verify Login With Correct Credentials"
"skipped","Tue Aug 23 19:50:26 PDT 2022","Tue Aug 23 19:50:26 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateShettyAcademyEmailTest","validateShettyAcademyEmailTest","Test Case Description: Verify Shetty Academy Email"
"passed","Wed Aug 24 01:25:25 PDT 2022","Wed Aug 24 01:25:28 PDT 2022","2802","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doSearchTest","doSearchTest","Test Case Description: Verify Do Search Product"
"broken","Tue Aug 23 19:58:42 PDT 2022","Tue Aug 23 19:58:42 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","startUp","startUp",""
"skipped","Tue Aug 23 19:58:28 PDT 2022","Tue Aug 23 19:58:28 PDT 2022","4","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doRegistration","doRegistration","Test Case Description: Verify Registration New User"
"skipped","Tue Aug 23 19:58:14 PDT 2022","Tue Aug 23 19:58:14 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","doProceedToCheckOutTest","doProceedToCheckOutTest","Test Case Description: Verify Proceed To Check Out"
"broken","Wed Aug 24 01:25:52 PDT 2022","Wed Aug 24 01:25:55 PDT 2022","3787","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doProceedToCheckOutTest","doProceedToCheckOutTest","Test Case Description: Verify Proceed To Check Out"
"passed","Wed Aug 24 01:15:24 PDT 2022","Wed Aug 24 01:15:33 PDT 2022","8886","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doAddToCartTest","doAddToCartTest","Test Case Description: Verify Do Add To Cart Product"
"skipped","Tue Aug 23 19:58:42 PDT 2022","Tue Aug 23 19:58:42 PDT 2022","3","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","validateProductPageTitle","validateProductPageTitle","Test Case Description: Verify Product Page Title"
"passed","Wed Aug 24 01:15:09 PDT 2022","Wed Aug 24 01:15:16 PDT 2022","6987","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doSearchTest","doSearchTest","Test Case Description: Verify Do Search Product"
